room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6832445,35794229,Entire home/apt,,FISHTOWN,0,,,3.0,1500.0,1.0,39.975275,-75.131885,2016-03-16 08:52:58.615654
8092369,42737691,Entire home/apt,,FRANCISVILLE,5,5.0,,2.0,275.0,1.0,39.970276,-75.16887,2016-03-16 08:52:52.501998
7482060,39182500,Entire home/apt,,EAST_FALLS,0,,,2.0,250.0,1.0,40.017512,-75.199091,2016-03-16 08:52:46.810113
7593259,39819763,Entire home/apt,,RITTENHOUSE,0,,4.0,2.0,3500.0,1.0,39.945875,-75.168304,2016-03-16 08:52:35.127430
8052649,42164341,Entire home/apt,,RITTENHOUSE,48,5.0,2.0,0.0,75.0,2.0,39.950922,-75.177844,2016-03-16 08:52:32.100344
6089111,31600481,Entire home/apt,,SPRING_GARDEN,0,,,4.0,750.0,1.0,39.965527,-75.176074,2016-03-16 08:52:29.214557
8190032,43200778,Entire home/apt,,SHARSWOOD,0,,2.0,2.0,150.0,3.0,39.974427,-75.175186,2016-03-16 08:52:23.529210
8324778,42045436,Private room,,LOGAN,0,,3.0,1.0,115.0,1.0,40.030083,-75.145713,2016-03-16 08:52:19.861407
6956780,36474480,Private room,,PENNSPORT,0,,2.0,1.0,199.0,2.0,39.929879,-75.150192,2016-03-16 08:52:17.464104
6400883,31483537,Entire home/apt,,HAWTHORNE,1,4.0,,3.0,85.0,1.0,39.941252,-75.159632,2016-03-16 08:52:07.095728
8078982,42675677,Entire home/apt,,NORTHERN_LIBERTIES,0,,,2.0,800.0,3.0,39.962311,-75.146867,2016-03-16 08:52:01.584844
2457732,6699041,Entire home/apt,,WASHINGTON_SQUARE,36,5.0,,3.0,320.0,2.0,39.945144,-75.162249,2016-03-16 08:51:59.467169
8506003,937786,Entire home/apt,,NORTH_CENTRAL,21,4.5,2.0,1.0,60.0,1.0,39.977888,-75.165776,2016-03-16 08:51:55.720883
8367112,10794289,Private room,,UNIVERSITY_CITY,0,,3.0,1.0,245.0,1.0,39.955523,-75.202819,2016-03-16 08:51:50.517583
