room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4290394,21240008,Entire home/apt,,NORTH_CENTRAL,85,4.0,15,,175.0,2.0,39.97408,-75.164251,2016-11-19 08:49:31.224937
5696645,29534841,Entire home/apt,,PENNSPORT,0,,4,,225.0,1.0,39.932268,-75.149319,2016-11-19 08:49:27.951131
14106123,15190205,Entire home/apt,,WASHINGTON_SQUARE,0,,4,,645.0,2.0,39.949657,-75.164228,2016-11-19 08:49:08.361860
4147699,15059,Entire home/apt,,GRADUATE_HOSPITAL,32,4.5,2,,100.0,1.0,39.943486,-75.179631,2016-11-19 08:49:02.716842
7693347,5195458,Entire home/apt,,CEDAR_PARK,0,,10,,300.0,1.0,39.946021,-75.217178,2016-11-19 08:48:59.892568
8378970,44157791,Entire home/apt,,WASHINGTON_SQUARE,0,,4,,2500.0,5.0,39.94739,-75.159472,2016-11-19 08:48:45.642625
7511554,37737088,Entire home/apt,,WASHINGTON_SQUARE,0,,16,,400.0,3.0,39.943827,-75.158219,2016-11-19 08:48:28.803342
1598638,8283999,Private room,,GERMANTOWN_WEST_CENT,10,4.0,3,,75.0,1.0,40.038182,-75.180564,2016-11-19 08:48:05.829226
8292795,24549378,Entire home/apt,,POINT_BREEZE,0,,3,,300.0,1.0,39.936586,-75.167897,2016-11-19 08:48:03.006961
7081475,36898761,Entire home/apt,,WASHINGTON_SQUARE,0,,4,,600.0,3.0,39.945413,-75.158191,2016-11-19 08:47:48.999724
13061695,15856042,Private room,,WEST_POWELTON,54,5.0,1,,41.0,1.0,39.960603,-75.201089,2016-11-19 08:47:42.878122
9539889,3074862,Entire home/apt,,QUEEN_VILLAGE,10,5.0,6,,175.0,2.0,39.938339,-75.150651,2016-11-19 08:47:39.088449
15634036,100817172,Entire home/apt,,TACONY,1,,2,,50.0,1.0,40.026169,-75.033297,2016-11-19 08:47:23.514609
7928373,24584936,Entire home/apt,,CEDAR_PARK,0,,5,,150.0,1.0,39.950358,-75.21837,2016-11-19 08:47:17.204882
8035678,1449996,Entire home/apt,,LOGAN_SQUARE,4,4.5,3,,165.0,2.0,39.963237,-75.171808,2016-11-19 08:47:13.943768
8033277,42415799,Entire home/apt,,RITTENHOUSE,0,,3,,1000.0,3.0,39.94708,-75.172863,2016-11-19 08:47:10.321859
2092104,430855,Entire home/apt,,FAIRMOUNT,31,5.0,9,,500.0,2.0,39.973655,-75.182281,2016-11-19 08:46:39.149656
8048417,42503049,Entire home/apt,,UNIVERSITY_CITY,0,,6,,300.0,1.0,39.951672,-75.204548,2016-11-19 08:46:32.530685
7774230,33468549,Entire home/apt,,EAST_PASSYUNK,2,,5,,375.0,2.0,39.923759,-75.163432,2016-11-19 08:46:25.703248
14022564,83906370,Entire home/apt,,POINT_BREEZE,1,,9,,1500.0,2.0,39.93431,-75.175015,2016-11-19 08:46:15.581061
8256809,13097004,Private room,,UPPER_ROXBOROUGH,9,5.0,3,,90.0,1.0,40.051962,-75.226474,2016-11-19 08:46:05.182988
7516288,39364889,Entire home/apt,,LOGAN_SQUARE,0,,3,,750.0,1.0,39.962463,-75.170975,2016-11-19 08:45:57.254734
7053267,36991602,Entire home/apt,,ANDORRA,0,,5,,400.0,1.0,40.072099,-75.241957,2016-11-19 08:45:46.758279
7838993,40796179,Entire home/apt,,GRADUATE_HOSPITAL,0,,6,,400.0,1.0,39.940958,-75.168582,2016-11-19 08:45:30.154288
7838430,33761820,Entire home/apt,,LOGAN_SQUARE,172,5.0,5,,80.0,1.0,39.96146,-75.164884,2016-11-19 08:45:23.079227
6372234,33206127,Private room,,FAIRMOUNT,3,3.5,2,,51.0,1.0,39.973287,-75.182922,2016-11-19 08:45:09.068454
7280089,38118896,Entire home/apt,,WASHINGTON_SQUARE,0,,2,,350.0,1.0,39.949476,-75.162453,2016-11-19 08:44:31.048321
13540897,77897477,Entire home/apt,,BUSTLETON,5,5.0,2,,50.0,1.0,40.078217,-75.032469,2016-11-19 08:44:08.853688
7883350,41557212,Private room,,FISHTOWN,0,,2,,125.0,1.0,39.979721,-75.119171,2016-11-19 08:44:03.256648
14037935,84093936,Entire home/apt,,COBBS_CREEK,0,,9,,400.0,4.0,39.952941,-75.240888,2016-11-19 08:43:35.476719
8410365,9542470,Entire home/apt,,OLD_CITY,0,,6,,650.0,4.0,39.949968,-75.144975,2016-11-19 08:43:33.021169
7748463,40713835,Entire home/apt,,LOGAN_SQUARE,0,,4,,4000.0,1.0,39.963112,-75.174459,2016-11-19 08:43:27.095775
13486557,27112,Private room,,POINT_BREEZE,50,4.5,2,,50.0,1.0,39.938386,-75.174909,2016-11-19 08:43:13.773089
8247726,42922852,Private room,,PASSYUNK_SQUARE,20,5.0,2,,67.0,1.0,39.934674,-75.161868,2016-11-19 08:43:06.823126
6331793,21435893,Private room,,CHESTNUT_HILL,87,5.0,5,,85.0,2.0,40.071092,-75.202451,2016-11-19 08:42:56.890292
7768089,16639553,Entire home/apt,,GRADUATE_HOSPITAL,0,,8,,200.0,1.0,39.94326,-75.176613,2016-11-19 08:42:52.802746
7762199,40816716,Entire home/apt,,GRADUATE_HOSPITAL,0,,4,,950.0,4.0,39.944559,-75.178159,2016-11-19 08:42:50.143336
7911588,746667,Entire home/apt,,RITTENHOUSE,55,4.5,4,,149.0,1.0,39.95095,-75.175095,2016-11-19 08:42:46.076796
13606187,75785292,Private room,,POWELTON,57,5.0,2,,50.0,1.0,39.959387,-75.193525,2016-11-19 08:42:25.064609
6139156,10917033,Entire home/apt,,RITTENHOUSE,0,,5,,1000.0,1.0,39.952089,-75.178604,2016-11-19 08:42:12.878087
7785979,40971023,Entire home/apt,,EAST_FALLS,4,5.0,4,,60.0,1.0,40.00899,-75.196144,2016-11-19 08:41:47.194038
7893046,33438934,Entire home/apt,,DICKINSON_NARROWS,0,,6,,245.0,1.0,39.927484,-75.152824,2016-11-19 08:41:25.817317
7346117,3619907,Entire home/apt,,FITLER_SQUARE,0,,10,,900.0,1.0,39.948883,-75.180925,2016-11-19 08:41:18.030880
1038697,2287608,Private room,,HAWTHORNE,19,5.0,2,,225.0,2.0,39.943322,-75.165591,2016-11-19 08:41:09.982186
7286818,38158651,Entire home/apt,,FITLER_SQUARE,18,5.0,4,,300.0,2.0,39.947365,-75.18161,2016-11-19 08:41:03.591460
10657614,27584281,Entire home/apt,,RITTENHOUSE,35,4.5,6,,200.0,2.0,39.944497,-75.172109,2016-11-19 08:40:56.319189
4432019,21240008,Entire home/apt,,FRANCISVILLE,80,4.5,7,,120.0,2.0,39.967548,-75.163992,2016-11-19 08:40:53.002836
11828829,4669403,Entire home/apt,,RITTENHOUSE,60,5.0,4,,140.0,1.0,39.94729,-75.169361,2016-11-19 08:40:49.150636
6692751,7707713,Private room,,MOUNT_AIRY_EAST,0,,1,,100.0,1.0,40.056794,-75.18752,2016-11-19 08:40:40.967646
7732905,40636549,Entire home/apt,,WASHINGTON_SQUARE,28,5.0,4,,130.0,1.0,39.943775,-75.159224,2016-11-19 08:40:33.661069
13431369,76370450,Entire home/apt,,RITTENHOUSE,7,4.5,4,,175.0,2.0,39.945291,-75.170317,2016-11-19 08:40:22.553011
3089942,12800746,Private room,,LOGAN_SQUARE,161,5.0,2,,88.0,1.0,39.957231,-75.175294,2016-11-19 08:40:18.219338
8453685,44500159,Entire home/apt,,SPRING_GARDEN,0,,2,,400.0,2.0,39.963827,-75.169815,2016-11-19 08:38:35.038419
7377576,38014569,Entire home/apt,,SPRING_GARDEN,0,,4,,385.0,1.0,39.965596,-75.176835,2016-11-19 08:38:32.052892
7914239,1965430,Entire home/apt,,MANAYUNK,0,,6,,375.0,1.0,40.024542,-75.215128,2016-11-19 08:38:19.255725
9853274,50724792,Entire home/apt,,WASHINGTON_SQUARE,54,5.0,2,,87.0,1.0,39.945462,-75.160467,2016-11-19 08:38:16.790706
8300425,43764718,Entire home/apt,,EAST_FALLS,0,,6,,450.0,2.0,40.013651,-75.190802,2016-11-19 08:38:10.017418
6784330,12233842,Entire home/apt,,GRADUATE_HOSPITAL,2,,4,,192.0,1.0,39.94381,-75.174037,2016-11-19 08:38:00.776936
6687160,24932446,Entire home/apt,,LOGAN_SQUARE,0,,4,,1500.0,1.0,39.961474,-75.178228,2016-11-19 08:37:52.979900
4755716,24541063,Entire home/apt,,MANTUA,4,5.0,4,,115.0,2.0,39.963534,-75.196206,2016-11-19 08:37:46.672310
7452414,10848189,Private room,,EAST_KENSINGTON,1,,2,,80.0,1.0,39.980814,-75.129468,2016-11-19 08:37:43.100522
8213465,40076241,Entire home/apt,,QUEEN_VILLAGE,0,,14,,1200.0,1.0,39.937402,-75.152562,2016-11-19 08:37:39.732152
7965865,451746,Private room,,GERMANTOWN_PENN_KNOX,18,5.0,2,,60.0,2.0,40.031723,-75.174733,2016-11-19 08:37:35.753834
7471707,39134824,Entire home/apt,,LAWNDALE,0,,6,,1500.0,2.0,40.053843,-75.095628,2016-11-19 08:37:30.474895
11863576,63240002,Entire home/apt,,WASHINGTON_SQUARE,0,,4,,200.0,1.0,39.943652,-75.158216,2016-11-19 08:37:27.750939
7270907,38069185,Entire home/apt,,NORTHERN_LIBERTIES,0,,2,,550.0,1.0,39.964753,-75.138832,2016-11-19 08:36:39.537382
11007295,57118556,Entire home/apt,,MOUNT_AIRY_WEST,0,,2,,53.0,1.0,40.042423,-75.186587,2016-11-19 08:36:25.396517
6843582,34995981,Entire home/apt,,OLD_CITY,0,,4,,250.0,1.0,39.952362,-75.142296,2016-11-19 08:36:15.476320
8089916,42716308,Entire home/apt,,SPRING_GARDEN,0,,10,,500.0,1.0,39.964067,-75.170465,2016-11-19 08:36:08.348484
5580751,8846697,Private room,,MOUNT_AIRY_WEST,47,4.5,2,,27.0,1.0,40.046475,-75.183139,2016-11-19 08:35:44.754521
7997963,38414829,Private room,,FRANCISVILLE,0,,2,,500.0,1.0,39.969364,-75.166193,2016-11-19 08:35:36.522165
