room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
5874866,1425,30508037,Shared room,,Philadelphia,,LOGAN_SQUARE,0,0.0,3,1.0,,100.0,,2017-07-10 03:14:42.679967,39.954674,-75.176436,0101000020E6100000927538BA4ACB52C0B62BF4C132FA4340
14772593,1425,58503,Shared room,,Philadelphia,,WALNUT_HILL,2,0.0,2,1.0,,90.0,,2017-07-10 03:14:42.676683,39.955331,-75.215225,0101000020E61000000612143FC6CD52C070ED444948FA4340
13625939,1425,68460659,Shared room,,Philadelphia,,MANAYUNK,0,0.0,2,1.0,,65.0,,2017-07-10 03:14:41.030889,40.031058,-75.224863,0101000020E610000026C5C72764CE52C0BC2363B5F9034440
5508864,1425,28572397,Shared room,,Philadelphia,,POINT_BREEZE,11,4.0,3,1.0,,75.0,,2017-07-10 03:14:41.025583,39.93677,-75.175508,0101000020E6100000ED0BE8853BCB52C0DDEF5014E8F74340
8253109,1425,43522701,Shared room,,Philadelphia,,UNIVERSITY_CITY,0,0.0,5,1.0,,64.0,,2017-07-10 03:14:41.023459,39.949692,-75.201427,0101000020E61000000262122EE4CC52C0ECA2E8818FF94340
6902202,1425,36171504,Shared room,,Philadelphia,,EAST_PASSYUNK,1,0.0,2,1.0,,79.0,,2017-07-10 03:14:41.020673,39.924896,-75.162423,0101000020E61000009147702365CA52C0C119FCFD62F64340
7075810,1425,37100861,Shared room,,Philadelphia,,STANTON,0,0.0,3,1.0,,70.0,,2017-07-10 03:14:41.018532,39.986387,-75.157202,0101000020E61000006937FA980FCA52C08B19E1ED41FE4340
17665408,1425,76759435,Shared room,,Philadelphia,,WEST_OAK_LANE,0,0.0,2,1.0,,75.0,,2017-07-10 03:14:41.015210,40.055417,-75.149578,0101000020E6100000DF8C9AAF92C952C03B527DE717074440
6913846,1425,13616611,Shared room,,Philadelphia,,OLD_CITY,0,0.0,1,1.0,,50.0,,2017-07-10 03:14:38.546425,39.952261,-75.142632,0101000020E61000003DD7F7E120C952C0CD203EB0E3F94340
15579869,1425,18041910,Shared room,,Philadelphia,,RITTENHOUSE,3,4.5,2,1.0,,55.0,,2017-07-10 03:14:38.544061,39.946265,-75.167549,0101000020E61000008FDE701FB9CA52C0BA2C26361FF94340
14340921,1425,78712537,Shared room,,Philadelphia,,BELLA_VISTA,26,4.5,2,1.0,,50.0,,2017-07-10 03:14:38.541523,39.939012,-75.157174,0101000020E6100000047289230FCA52C09946938B31F84340
14105075,1425,29715906,Shared room,,Philadelphia,,BREWERYTOWN,1,0.0,2,1.0,,55.0,,2017-07-10 03:14:38.539102,39.977865,-75.186816,0101000020E6100000A69718CBF4CB52C0977329AE2AFD4340
15495656,1425,44175349,Shared room,,Philadelphia,,NORTH_CENTRAL,1,0.0,2,1.0,,49.0,,2017-07-10 03:14:38.535334,39.981953,-75.163434,0101000020E61000007C43E1B375CA52C0C39ACAA2B0FD4340
7998501,1425,42221584,Shared room,,Philadelphia,,UNIVERSITY_CITY,0,0.0,2,1.0,,45.0,,2017-07-10 03:14:38.533020,39.954566,-75.201037,0101000020E61000004D124BCADDCC52C0D0EFFB372FFA4340
14606499,1425,86374825,Shared room,,Philadelphia,,CARROLL_PARK,0,0.0,3,1.0,,48.0,,2017-07-10 03:14:38.530158,39.971904,-75.241782,0101000020E6100000BCB0355B79CF52C0016DAB5967FC4340
7635451,1425,17141621,Shared room,,Philadelphia,,CENTER_CITY,0,0.0,2,1.0,,50.0,,2017-07-10 03:14:38.528138,39.956667,-75.160964,0101000020E610000056F5F23B4DCA52C0CB14731074FA4340
15480431,1425,76643569,Shared room,,Philadelphia,,SOMERTON,0,0.0,3,1.0,,50.0,,2017-07-10 03:14:38.526174,40.102937,-75.014041,0101000020E610000067F3380CE6C052C03046240A2D0D4440
7672637,1425,7658476,Shared room,,Philadelphia,,DICKINSON_NARROWS,28,4.5,2,1.0,,53.0,,2017-07-10 03:14:38.523893,39.929966,-75.156389,0101000020E6100000111D024702CA52C02B323A2009F74340
8402831,1425,29726449,Shared room,,Philadelphia,,MANTUA,1,0.0,1,1.0,,50.0,,2017-07-10 03:14:38.520728,39.962305,-75.190886,0101000020E6100000EAD0E97937CC52C07EE36BCF2CFB4340
1989461,1425,4659849,Shared room,,Philadelphia,,NEWBOLD,149,5.0,3,1.0,,44.0,,2017-07-10 03:14:38.511307,39.922474,-75.173762,0101000020E610000067D2A6EA1ECB52C085B4C6A013F64340
