room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6590868,34479838.0,Entire home/apt,,ROXBOROUGH,0,,2.0,1.0,200.0,1.0,40.029317,-75.214905,2015-12-13 01:24:06.185687
5336412,27654601.0,Private room,,MANTUA,0,,2.0,1.0,50.0,1.0,39.965079,-75.20013,2015-12-13 01:24:04.892485
8072058,39188528.0,Entire home/apt,,PASSYUNK_SQUARE,0,,4.0,1.0,500.0,2.0,39.935089,-75.158124,2015-12-13 01:23:59.755478
314144,1614065.0,Private room,,FAIRMOUNT,185,4.5,3.0,1.0,55.0,1.0,39.974567,-75.184086,2015-12-13 01:23:57.948840
2215934,11237826.0,Entire home/apt,,GRADUATE_HOSPITAL,85,4.5,,3.0,250.0,2.0,39.94376,-75.176729,2015-12-13 01:23:56.448561
314334,1615109.0,Private room,,QUEEN_VILLAGE,22,4.5,2.0,1.0,60.0,2.0,39.935469,-75.151679,2015-12-13 01:23:53.567361
16418,15765.0,Private room,,GRADUATE_HOSPITAL,171,5.0,5.0,1.0,95.0,,39.939228,-75.173488,2015-12-13 01:23:50.653212
7363058,23458217.0,Entire home/apt,,FAIRMOUNT,0,,,3.0,500.0,2.0,39.970132,-75.172944,2015-12-13 01:23:48.812905
7323913,38366660.0,Entire home/apt,,RITTENHOUSE,0,,4.0,1.0,200.0,3.0,39.9462,-75.167367,2015-12-13 01:23:41.407875
6699132,35066555.0,Entire home/apt,,BELLA_VISTA,0,,,3.0,400.0,4.0,39.936233,-75.156869,2015-12-13 01:23:36.585868
7747654,3805927.0,Entire home/apt,,RITTENHOUSE,0,,,4.0,1050.0,1.0,39.949683,-75.176678,2015-12-13 01:23:35.346868
5664590,21729549.0,Entire home/apt,,ROXBOROUGH,0,,,2.0,700.0,1.0,40.022032,-75.213289,2015-12-13 01:23:32.828955
6836508,1897267.0,Private room,,FRANCISVILLE,2,4.5,2.0,1.0,99.0,1.0,39.971367,-75.167751,2015-12-13 01:23:31.642937
4662879,4283300.0,Entire home/apt,,DICKINSON_NARROWS,40,4.5,,2.0,95.0,2.0,39.931304,-75.1552,2015-12-13 01:23:27.249365
1516616,8097779.0,Private room,,EAST_PASSYUNK,2,5.0,2.0,1.0,129.0,2.0,39.925557,-75.158169,2015-12-13 01:23:21.596119
6544065,28447807.0,Entire home/apt,,NORTHERN_LIBERTIES,0,,5.0,2.0,1500.0,1.0,39.960097,-75.145579,2015-12-13 01:23:14.948839
8425449,44371435.0,Entire home/apt,,EAST_FALLS,0,,2.0,1.0,300.0,1.0,40.016104,-75.201647,2015-12-13 01:23:13.095752
7983812,42138736.0,Entire home/apt,,DICKINSON_NARROWS,0,,4.0,2.0,1200.0,1.0,39.934642,-75.15376,2015-12-13 01:23:10.895277
7310597,38301349.0,Entire home/apt,,WASHINGTON_SQUARE,0,,4.0,2.0,1100.0,3.0,39.94499,-75.163438,2015-12-13 01:23:09.583800
7620800,39971301.0,Entire home/apt,,BELLA_VISTA,0,,5.0,3.0,295.0,3.0,39.939881,-75.155579,2015-12-13 01:23:07.792762
8326279,15469842.0,Private room,,OVERBROOK,0,,2.0,1.0,75.0,1.0,39.990136,-75.244174,2015-12-13 01:23:06.591907
8540352,17650152.0,Private room,,SHARSWOOD,0,,3.0,1.0,250.0,1.0,39.974931,-75.169023,2015-12-13 01:23:02.772591
9818464,50575681.0,Entire home/apt,,WEST_KENSINGTON,0,,3.0,2.0,75.0,2.0,39.983707,-75.135098,2015-12-13 01:22:57.797066
9876643,22068147.0,Private room,,GARDEN_COURT,0,,3.0,1.0,60.0,1.0,39.953849,-75.223414,2015-12-13 01:22:55.903722
7817570,22129776.0,Entire home/apt,,RITTENHOUSE,2,3.5,3.0,1.0,189.0,1.0,39.948564,-75.172723,2015-12-13 01:22:53.618193
9796810,14587760.0,Private room,,CEDAR_PARK,0,,1.0,1.0,49.0,1.0,39.949967,-75.217354,2015-12-13 01:22:50.795987
6904239,36183351.0,Entire home/apt,,EAST_PASSYUNK,0,,4.0,1.0,500.0,1.0,39.928892,-75.161823,2015-12-13 01:22:45.889913
6609274,23915509.0,Private room,,MOUNT_AIRY_WEST,5,4.5,2.0,1.0,50.0,1.0,40.055197,-75.192883,2015-12-13 01:22:43.251573
6932986,26430123.0,Entire home/apt,,GRADUATE_HOSPITAL,0,,,3.0,1750.0,1.0,39.940753,-75.175179,2015-12-13 01:22:41.215267
8171265,15678643.0,Entire home/apt,,MANTUA,0,,,2.0,165.0,2.0,39.965202,-75.201354,2015-12-13 01:22:40.309379
5668790,29388972.0,Entire home/apt,,LOWER_MOYAMENSING,0,,2.0,2.0,350.0,1.0,39.920736,-75.163132,2015-12-13 01:22:38.590638
7894845,41624668.0,Entire home/apt,,CENTER_CITY,9,5.0,4.0,1.0,89.0,1.0,39.957763,-75.160286,2015-12-13 01:22:36.405406
5455732,17398253.0,Private room,,EAST_PASSYUNK,7,5.0,1.0,1.0,50.0,1.0,39.928349,-75.167371,2015-12-13 01:22:32.288166
7836310,41275522.0,Entire home/apt,,MANTUA,0,,5.0,2.0,455.0,1.0,39.96377,-75.190329,2015-12-13 01:22:27.013008
4156100,21565662.0,Entire home/apt,,RITTENHOUSE,1,5.0,4.0,2.0,375.0,2.0,39.950273,-75.177805,2015-12-13 01:22:22.491783
