room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6741884,35302266,Shared room,,GRADUATE_HOSPITAL,0,0.0,4,1.0,425.0,,39.940362,-75.168687,2017-02-12 12:56:42.507450
6687734,21326553,Shared room,,CENTER_CITY,0,0.0,3,1.0,300.0,,39.953137,-75.164674,2017-02-12 12:56:40.514747
8429300,44392084,Shared room,,HARTRANFT,0,0.0,7,1.0,300.0,,39.985569,-75.152913,2017-02-12 12:56:40.512212
7938468,13233056,Shared room,,EAST_PASSYUNK,0,0.0,1,1.0,250.0,,39.929042,-75.161022,2017-02-12 12:56:40.507451
8035871,42013420,Shared room,,MAYFAIR,1,0.0,6,1.0,200.0,,40.037065,-75.048784,2017-02-12 12:56:39.137656
16051991,104464187,Shared room,,CLEARVIEW,0,0.0,1,1.0,150.0,,39.910032,-75.243522,2017-02-12 12:56:38.773044
7883411,1274458,Shared room,,WYNNEFIELD_HEIGHTS,1,0.0,4,1.0,158.0,,40.00311,-75.202281,2017-02-12 12:56:38.770845
7745831,40716484,Shared room,,RITTENHOUSE,1,0.0,2,1.0,150.0,,39.95276,-75.176119,2017-02-12 12:56:38.768505
8324916,43884764,Shared room,,STRAWBERRY_MANSION,0,0.0,7,1.0,125.0,,39.989179,-75.183845,2017-02-12 12:56:37.301721
8201006,42722950,Shared room,,OLD_CITY,0,0.0,2,1.0,140.0,,39.95048,-75.142142,2017-02-12 12:56:37.298945
8072105,41766356,Shared room,,SOCIETY_HILL,0,0.0,4,1.0,128.0,,39.946109,-75.153825,2017-02-12 12:56:37.295511
16164791,105515846,Shared room,,OVERBROOK,0,0.0,1,1.0,103.0,,39.992907,-75.233991,2017-02-12 12:56:35.963976
16164784,105517234,Shared room,,OVERBROOK,0,0.0,1,1.0,103.0,,39.993103,-75.23463,2017-02-12 12:56:35.960442
8211704,40903605,Shared room,,KINGSESSING,1,0.0,2,1.0,90.0,,39.94275,-75.222611,2017-02-12 12:56:34.727653
7581834,39755836,Shared room,,GRADUATE_HOSPITAL,1,0.0,16,1.0,100.0,,39.942999,-75.170109,2017-02-12 12:56:34.724133
7092930,37176642,Shared room,,NORTH_CENTRAL,0,0.0,3,1.0,100.0,,39.980583,-75.16064,2017-02-12 12:56:34.721775
5874866,30508037,Shared room,,LOGAN_SQUARE,0,0.0,3,1.0,100.0,,39.954674,-75.176436,2017-02-12 12:56:34.719548
8552031,45016754,Shared room,,HAWTHORNE,0,0.0,2,1.0,100.0,,39.940202,-75.161353,2017-02-12 12:56:34.716994
8428371,8245406,Shared room,,POWELTON,0,0.0,2,1.0,100.0,,39.961208,-75.192505,2017-02-12 12:56:34.714811
8030260,42399855,Shared room,,EAST_POPLAR,0,0.0,2,1.0,100.0,,39.969817,-75.147584,2017-02-12 12:56:34.711987
8220877,40725116,Shared room,,LOGAN_SQUARE,0,0.0,2,1.0,70.0,,39.96132,-75.178394,2017-02-12 12:56:33.336005
15579869,18041910,Shared room,,RITTENHOUSE,2,0.0,2,1.0,80.0,,39.946265,-75.167549,2017-02-12 12:56:33.333819
13625939,68460659,Shared room,,MANAYUNK,0,0.0,2,1.0,65.0,,40.031058,-75.224863,2017-02-12 12:56:33.331844
6902202,36171504,Shared room,,EAST_PASSYUNK,1,0.0,2,1.0,79.0,,39.924896,-75.162423,2017-02-12 12:56:33.328908
8253109,43522701,Shared room,,UNIVERSITY_CITY,0,0.0,5,1.0,64.0,,39.949692,-75.201427,2017-02-12 12:56:33.326645
12849877,6422570,Shared room,,HARTRANFT,19,5.0,2,1.0,70.0,,39.988006,-75.15072,2017-02-12 12:56:33.318482
14028865,36141538,Shared room,,EAST_FALLS,27,5.0,4,1.0,63.0,,40.023155,-75.179309,2017-02-12 12:56:33.316356
7075810,37100861,Shared room,,STANTON,0,0.0,3,1.0,70.0,,39.986387,-75.157202,2017-02-12 12:56:33.312687
684788,3491311,Shared room,,PENNSPORT,85,5.0,2,1.0,72.0,,39.929008,-75.151278,2017-02-12 12:56:33.308987
6913846,13616611,Shared room,,OLD_CITY,0,0.0,1,1.0,50.0,,39.952261,-75.142632,2017-02-12 12:56:31.921284
7672637,7658476,Shared room,,DICKINSON_NARROWS,28,4.5,2,1.0,53.0,,39.929966,-75.156389,2017-02-12 12:56:31.917768
4735113,24446800,Shared room,,RITTENHOUSE,15,4.0,1,1.0,50.0,,39.953195,-75.174954,2017-02-12 12:56:31.912560
14340921,78712537,Shared room,,BELLA_VISTA,19,4.5,2,1.0,55.0,,39.939012,-75.157174,2017-02-12 12:56:31.906608
14606499,86374825,Shared room,,CARROLL_PARK,0,0.0,3,1.0,48.0,,39.971904,-75.241782,2017-02-12 12:56:30.333227
14105075,29715906,Shared room,,BREWERYTOWN,1,0.0,2,1.0,55.0,,39.977865,-75.186816,2017-02-12 12:56:30.331112
7998501,42221584,Shared room,,UNIVERSITY_CITY,0,0.0,2,1.0,45.0,,39.954566,-75.201037,2017-02-12 12:56:30.329133
15480431,76643569,Shared room,,SOMERTON,0,0.0,3,1.0,50.0,,40.102937,-75.014041,2017-02-12 12:56:30.326955
7635451,17141621,Shared room,,CENTER_CITY,0,0.0,2,1.0,50.0,,39.956667,-75.160964,2017-02-12 12:56:30.323389
5133780,2604920,Shared room,,LOGAN_SQUARE,1,0.0,2,1.0,55.0,,39.958642,-75.175279,2017-02-12 12:56:30.321284
15495656,44175349,Shared room,,NORTH_CENTRAL,1,0.0,2,1.0,49.0,,39.981953,-75.163434,2017-02-12 12:56:30.318558
16578660,29410080,Shared room,,NORTHERN_LIBERTIES,0,0.0,2,1.0,55.0,,39.95953,-75.145217,2017-02-12 12:56:30.314973
8441418,44443779,Shared room,,UNIVERSITY_CITY,0,0.0,2,1.0,50.0,,39.952243,-75.202701,2017-02-12 12:56:30.311888
15956525,103609101,Shared room,,EAST_FALLS,0,0.0,1,1.0,50.0,,40.023611,-75.18188,2017-02-12 12:56:30.309344
16767078,1562505,Shared room,,WASHINGTON_SQUARE,0,0.0,2,1.0,45.0,,39.948306,-75.164203,2017-02-12 12:56:30.307278
14042128,32226394,Shared room,,MANTUA,0,0.0,1,1.0,52.0,,39.962582,-75.19253,2017-02-12 12:56:30.302611
15057788,11687691,Shared room,,WEST_KENSINGTON,2,0.0,3,1.0,50.0,,39.977762,-75.133907,2017-02-12 12:56:30.300054
13263163,4940843,Shared room,,LOGAN_SQUARE,18,5.0,1,1.0,55.0,,39.954882,-75.176993,2017-02-12 12:56:30.295560
9447924,6397267,Shared room,,CALLOWHILL,17,4.5,4,1.0,26.0,,39.958933,-75.155531,2017-02-12 12:56:29.336688
8027671,11492982,Shared room,,CEDAR_PARK,1,0.0,1,1.0,20.0,,39.947668,-75.224886,2017-02-12 12:56:29.334497
14917877,33323474,Shared room,,RITTENHOUSE,3,5.0,2,1.0,40.0,,39.950458,-75.167962,2017-02-12 12:56:29.332034
13938804,44474120,Shared room,,HARTRANFT,0,0.0,1,1.0,40.0,,39.979237,-75.149186,2017-02-12 12:56:29.328081
14671104,47709770,Shared room,,MODENA,0,0.0,1,1.0,40.0,,40.080136,-74.982556,2017-02-12 12:56:29.326037
4995618,25757141,Shared room,,WASHINGTON_SQUARE,0,0.0,1,1.0,15.0,,39.947363,-75.156507,2017-02-12 12:56:29.323114
7696167,36708337,Shared room,,FISHTOWN,61,5.0,2,1.0,25.0,,39.968683,-75.133504,2017-02-12 12:56:29.320344
10987294,17120130,Shared room,,EAST_KENSINGTON,0,0.0,1,1.0,30.0,,39.984664,-75.124585,2017-02-12 12:56:29.317453
14340807,52952345,Shared room,,HARTRANFT,6,5.0,15,1.0,14.0,,39.989569,-75.149623,2017-02-12 12:56:29.314293
12320044,50308154,Shared room,,OLD_CITY,3,4.5,5,1.0,29.0,,39.948038,-75.144212,2017-02-12 12:56:27.826534
17025120,65453839,Shared room,,SOMERTON,0,0.0,1,1.0,18.0,,40.111607,-75.028543,2017-02-12 12:56:27.824563
10823902,54810385,Shared room,,LAWNDALE,1,0.0,2,1.0,18.0,,40.032256,-75.106669,2017-02-12 12:56:27.822550
12319078,50308154,Shared room,,OLD_CITY,9,5.0,16,1.0,29.0,,39.948555,-75.144827,2017-02-12 12:56:27.818768
12011033,59829880,Shared room,,CENTER_CITY,6,4.0,16,1.0,30.0,,39.956878,-75.160021,2017-02-12 12:56:27.816215
16108223,45326460,Shared room,,KINGSESSING,0,0.0,2,1.0,40.0,,39.945905,-75.232433,2017-02-12 12:56:27.814089
9595640,6397267,Shared room,,LOGAN_SQUARE,6,4.0,10,1.0,27.0,,39.958412,-75.162992,2017-02-12 12:56:27.811777
17124218,65453839,Shared room,,SOMERTON,0,0.0,1,1.0,18.0,,40.112504,-75.027399,2017-02-12 12:56:27.809035
6645083,4266027,Shared room,,FISHTOWN,3,4.5,4,1.0,34.0,,39.968472,-75.132373,2017-02-12 12:56:27.806995
5269282,6431299,Shared room,,CEDAR_PARK,19,4.5,2,1.0,25.0,,39.94846,-75.223885,2017-02-12 12:56:27.804300
5150873,4266027,Shared room,,FISHTOWN,133,5.0,2,1.0,34.0,,39.970222,-75.132447,2017-02-12 12:56:27.801701
10563175,4266027,Shared room,,OLD_KENSINGTON,71,5.0,4,1.0,32.0,,39.973669,-75.13701,2017-02-12 12:56:27.799087
9754343,50308154,Shared room,,OLD_CITY,23,5.0,5,1.0,29.0,,39.949192,-75.144442,2017-02-12 12:56:27.796497
8631259,20909882,Shared room,,RITTENHOUSE,34,5.0,2,1.0,34.0,,39.952277,-75.177699,2017-02-12 12:56:27.794221
11927496,59829880,Shared room,,CENTER_CITY,5,4.0,10,1.0,29.0,,39.955964,-75.160659,2017-02-12 12:56:27.791911
17123719,65453839,Shared room,,SOMERTON,0,0.0,1,1.0,22.0,,40.113096,-75.028373,2017-02-12 12:56:27.789327
16594746,93008964,Shared room,,WASHINGTON_SQUARE,1,0.0,2,1.0,35.0,,39.947308,-75.154826,2017-02-12 12:56:27.786308
9692387,6397267,Shared room,,CHINATOWN,31,4.5,4,1.0,31.0,,39.956811,-75.154194,2017-02-12 12:56:26.851215
10378777,4266027,Shared room,,OLD_KENSINGTON,39,5.0,3,1.0,33.0,,39.972189,-75.136611,2017-02-12 12:56:26.846877
7690887,40391409,Shared room,,SPRING_GARDEN,3,4.0,2,1.0,40.0,,39.965866,-75.169368,2017-02-12 12:56:26.844631
13168539,23268546,Shared room,,OVERBROOK,0,0.0,2,1.0,23.0,,39.979279,-75.247061,2017-02-12 12:56:26.842133
12218139,50308154,Shared room,,OLD_CITY,24,4.5,5,1.0,29.0,,39.949153,-75.1442,2017-02-12 12:56:26.839728
1989461,4659849,Shared room,,NEWBOLD,141,5.0,3,1.0,33.0,,39.922474,-75.173762,2017-02-12 12:56:26.837324
13294346,57146196,Shared room,,UNIVERSITY_CITY,0,0.0,2,1.0,15.0,,39.95476,-75.201276,2017-02-12 12:56:26.834849
14772593,58503,Shared room,,WALNUT_HILL,2,0.0,2,1.0,35.0,,39.955331,-75.215225,2017-02-12 12:56:26.832371
17124306,65453839,Shared room,,SOMERTON,0,0.0,1,1.0,22.0,,40.111882,-75.02876,2017-02-12 12:56:26.830257
7451660,19908586,Shared room,,RICHMOND,80,5.0,1,1.0,23.0,,39.984763,-75.119212,2017-02-12 12:56:26.827574
15957629,103620466,Shared room,,OVERBROOK,2,0.0,4,1.0,20.0,,39.996535,-75.231767,2017-02-12 12:56:26.824801
15288900,94676552,Shared room,,OVERBROOK,4,5.0,2,1.0,31.0,,39.994267,-75.235112,2017-02-12 12:56:26.820124
10014459,6065901,Shared room,,FISHTOWN,5,5.0,2,1.0,27.0,,39.968753,-75.133687,2017-02-12 12:56:26.817175
14417110,31764584,Shared room,,EAST_PASSYUNK,2,0.0,1,1.0,39.0,,39.926404,-75.167928,2017-02-12 12:56:26.814291
10730888,4266027,Shared room,,OLD_KENSINGTON,20,5.0,2,1.0,33.0,,39.972922,-75.136667,2017-02-12 12:56:26.812211
10380807,44447756,Shared room,,NEWBOLD,13,4.5,2,1.0,37.0,,39.92574,-75.170765,2017-02-12 12:56:26.809431
17045430,114401710,Shared room,,LOGAN_SQUARE,0,0.0,1,1.0,26.0,,39.954598,-75.171907,2017-02-12 12:56:26.807190
9895729,50308154,Shared room,,OLD_CITY,19,5.0,5,1.0,29.0,,39.948995,-75.144995,2017-02-12 12:56:26.803822
15916475,51771470,Shared room,,CENTER_CITY,3,3.0,1,1.0,36.0,,39.952796,-75.156613,2017-02-12 12:56:25.246420
9749126,50289160,Shared room,,CEDAR_PARK,21,5.0,1,1.0,30.0,,39.943844,-75.215305,2017-02-12 12:56:25.243928
8310836,43816736,Shared room,,ALLEGHENY_WEST,1,0.0,16,1.0,22.0,,40.005208,-75.183174,2017-02-12 12:56:25.241842
15239410,25007890,Shared room,,CHINATOWN,27,4.5,1,1.0,28.0,,39.956614,-75.154892,2017-02-12 12:56:25.239746
8274087,43628802,Shared room,,WEST_POWELTON,3,5.0,1,1.0,27.0,,39.961094,-75.198764,2017-02-12 12:56:25.237880
9372065,47766724,Shared room,,RITTENHOUSE,4,5.0,1,1.0,30.0,,39.947617,-75.175926,2017-02-12 12:56:25.235873
11734089,4909389,Shared room,,FISHTOWN,15,5.0,1,1.0,18.0,,39.983202,-75.120928,2017-02-12 12:56:25.233857
17029981,114158850,Shared room,,WASHINGTON_SQUARE,0,0.0,2,1.0,39.0,,39.951342,-75.16042,2017-02-12 12:56:25.231879
11659325,59829880,Shared room,,CENTER_CITY,13,4.5,10,1.0,29.0,,39.956777,-75.160487,2017-02-12 12:56:25.229387
14762074,89943058,Shared room,,WEST_POWELTON,18,5.0,3,1.0,13.0,,39.961398,-75.201983,2017-02-12 12:56:25.227368
4881108,4266027,Shared room,,FISHTOWN,146,5.0,4,1.0,34.0,,39.969383,-75.133848,2017-02-12 12:56:25.224929
12970875,71362604,Shared room,,POWELTON,31,4.5,1,1.0,28.0,,39.96166,-75.190609,2017-02-12 12:56:25.222952
15270688,41597706,Shared room,,SPRUCE_HILL,15,4.5,1,1.0,19.0,,39.950556,-75.206427,2017-02-12 12:56:25.220732
9901109,50308154,Shared room,,OLD_CITY,33,4.5,16,1.0,29.0,,39.948634,-75.144615,2017-02-12 12:56:25.215856
