room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13202382,73627005,Private room,,WEST_POWELTON,16,4.0,2,1.0,50.0,1.0,39.96263,-75.203753,2016-10-16 15:12:20.088801
14976883,1120226,Entire home/apt,,CENTER_CITY,0,,10,3.0,329.0,1.0,39.955555,-75.158695,2016-10-16 15:12:11.130338
8338507,16311277,Private room,,FAIRMOUNT,16,5.0,3,1.0,36.0,1.0,39.973889,-75.185044,2016-10-16 15:12:08.235498
8309024,43640562,Entire home/apt,,SOCIETY_HILL,13,4.5,3,1.0,139.0,1.0,39.943787,-75.147169,2016-10-16 15:12:04.733241
7753740,35565645,Private room,,NORTH_CENTRAL,0,,2,1.0,100.0,1.0,39.985757,-75.166287,2016-10-16 15:12:02.903834
15234180,38279747,Entire home/apt,,WYNNEFIELD,2,,3,1.0,42.0,,39.99418,-75.22661,2016-10-16 15:12:01.854160
7840789,39038448,Entire home/apt,,BREWERYTOWN,0,,10,4.0,250.0,1.0,39.983926,-75.18051,2016-10-16 15:11:59.806780
8288116,43699681,Entire home/apt,,LOWER_MOYAMENSING,0,,8,4.0,1000.0,5.0,39.923336,-75.166606,2016-10-16 15:11:57.493732
7722822,38373552,Entire home/apt,,WASHINGTON_SQUARE,0,,2,0.0,250.0,1.0,39.94619,-75.159749,2016-10-16 15:11:53.297753
5036864,26000548,Entire home/apt,,GRADUATE_HOSPITAL,66,4.5,2,0.0,75.0,2.0,39.941952,-75.175912,2016-10-16 15:11:53.116390
6849732,35497941,Entire home/apt,,NORTH_CENTRAL,0,,6,4.0,375.0,1.0,39.977379,-75.160782,2016-10-16 15:11:44.750645
7794884,35151024,Entire home/apt,,BREWERYTOWN,0,,6,2.0,850.0,1.0,39.97493,-75.183705,2016-10-16 15:11:44.715968
6886462,36084942,Entire home/apt,,RITTENHOUSE,1,,2,1.0,120.0,1.0,39.947877,-75.177516,2016-10-16 15:11:42.199631
7655551,40179358,Entire home/apt,,SPRING_GARDEN,0,,6,2.0,420.0,1.0,39.965711,-75.161686,2016-10-16 15:11:40.605289
7323638,38365107,Entire home/apt,,ROXBOROUGH,0,,8,2.0,300.0,1.0,40.035202,-75.22236,2016-10-16 15:11:39.329586
7329980,25281422,Entire home/apt,,HAWTHORNE,5,5.0,3,1.0,90.0,2.0,39.939308,-75.161118,2016-10-16 15:11:35.999272
14994268,11462971,Private room,,WHITMAN,11,5.0,4,1.0,32.0,,39.916025,-75.157188,2016-10-16 15:11:35.788028
7400928,38777752,Entire home/apt,,BELLA_VISTA,11,5.0,3,1.0,80.0,1.0,39.940788,-75.156843,2016-10-16 15:11:30.714317
7894541,41620782,Private room,,BREWERYTOWN,13,5.0,2,1.0,75.0,1.0,39.977482,-75.186238,2016-10-16 15:11:26.536709
10598906,855363,Private room,,FISHTOWN,22,5.0,2,1.0,55.0,2.0,39.978626,-75.122003,2016-10-16 15:11:25.875694
4126877,14204224,Entire home/apt,,WALNUT_HILL,206,4.5,4,0.0,60.0,2.0,39.953409,-75.216404,2016-10-16 15:11:22.694763
7798384,2125809,Entire home/apt,,STRAWBERRY_MANSION,13,5.0,5,2.0,72.0,2.0,39.982355,-75.18658,2016-10-16 15:11:21.252884
