room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7277843,38105460,Private room,,ALLEGHENY_WEST,,,2.0,1.0,325.0,1.0,40.007851,-75.186458,2015-08-20 11:38:30.710144
7884232,41562338,Private room,,HAWTHORNE,,,4.0,1.0,550.0,4.0,39.941692,-75.160209,2015-08-20 11:38:50.942042
7708895,30833498,Private room,,BELLA_VISTA,,,2.0,1.0,85.0,2.0,39.94137,-75.157158,2015-08-20 11:38:50.950308
6560579,169471,Private room,,BELLA_VISTA,,,4.0,1.0,60.0,1.0,39.937784,-75.159202,2015-08-20 11:38:50.952986
3968836,14797750,Private room,,BELLA_VISTA,13.0,5.0,1.0,1.0,85.0,2.0,39.94143,-75.157418,2015-08-20 11:38:50.958517
7636187,40061646,Private room,,DICKINSON_NARROWS,,,2.0,1.0,300.0,2.0,39.934713,-75.153769,2015-08-20 11:38:50.968874
7932964,41739340,Private room,,BELLA_VISTA,,,2.0,1.0,110.0,1.0,39.939482,-75.158496,2015-08-20 11:38:54.457975
6994103,19243470,Private room,,BELLA_VISTA,,5.0,1.0,1.0,75.0,1.0,39.941934,-75.1575,2015-08-20 11:38:54.466553
1919217,3558660,Private room,,BELLA_VISTA,13.0,5.0,2.0,1.0,79.0,2.0,39.938291,-75.158936,2015-08-20 11:38:54.483514
3343292,3858797,Private room,,FAIRMOUNT,7.0,5.0,4.0,1.0,125.0,1.0,39.973465,-75.185588,2015-08-20 11:39:34.814224
1608807,8568794,Private room,,BREWERYTOWN,8.0,5.0,2.0,1.0,75.0,2.0,39.974384,-75.180549,2015-08-20 11:39:34.817422
7975,15059,Private room,,FAIRMOUNT,160.0,4.0,2.0,1.0,62.0,1.0,39.974308,-75.183268,2015-08-20 11:39:28.283519
7676584,3543230,Private room,,BREWERYTOWN,3.0,3.5,2.0,1.0,25.0,1.0,39.9771,-75.182276,2015-08-20 11:39:28.288638
7915556,8655735,Private room,,FAIRMOUNT,,,2.0,1.0,55.0,1.0,39.973607,-75.183433,2015-08-20 11:39:28.291620
7748275,40729696,Private room,,BREWERYTOWN,,,,1.0,2000.0,1.0,39.977742,-75.185778,2015-08-20 11:39:28.296857
7787276,4504936,Private room,,FAIRMOUNT,,,2.0,1.0,65.0,1.0,39.973299,-75.179922,2015-08-20 11:39:28.302329
7774542,40897806,Private room,,BREWERYTOWN,,,4.0,1.0,355.0,1.0,39.974868,-75.183848,2015-08-20 11:39:28.318968
7557275,34573193,Private room,,CALLOWHILL,,,2.0,1.0,300.0,1.0,39.959945,-75.157766,2015-08-20 11:40:46.798094
6781768,35501465,Private room,,BREWERYTOWN,,5.0,2.0,1.0,49.0,,39.977014,-75.181383,2015-08-20 11:39:32.059278
7562242,39643526,Private room,,WEST_POPLAR,,,2.0,1.0,500.0,1.0,39.962569,-75.160579,2015-08-20 11:40:46.803216
5327766,19991521,Private room,,CALLOWHILL,4.0,4.5,2.0,1.0,75.0,1.0,39.95897,-75.154833,2015-08-20 11:40:46.805908
4572522,6401558,Private room,,CALLOWHILL,8.0,5.0,2.0,1.0,80.0,1.0,39.958296,-75.157752,2015-08-20 11:40:46.811743
5784688,30010884,Private room,,BRIDESBURG,,,2.0,1.0,500.0,1.0,39.996659,-75.078626,2015-08-20 11:40:06.165788
7805788,40796154,Private room,,BRIDESBURG,,,2.0,1.0,985.0,1.0,39.998403,-75.073123,2015-08-20 11:40:06.168888
6683717,1715327,Private room,,BRIDESBURG,,,3.0,1.0,200.0,1.0,40.001072,-75.072204,2015-08-20 11:40:06.171414
7724038,37162526,Private room,,BUSTLETON,,,2.0,1.0,85.0,1.0,40.081798,-75.043297,2015-08-20 11:40:27.162268
7754545,40690788,Private room,,RITTENHOUSE,,4.5,2.0,1.0,66.0,,39.947288,-75.16991,2015-08-20 11:41:25.344599
7740203,34853528,Private room,,OLD_CITY,,,2.0,1.0,55.0,1.0,39.953158,-75.142762,2015-08-20 11:41:25.350473
900575,2200222,Private room,,LOGAN_SQUARE,120.0,5.0,2.0,1.0,95.0,2.0,39.958027,-75.176688,2015-08-20 11:41:25.355983
5475974,5631588,Private room,,WASHINGTON_SQUARE,25.0,5.0,2.0,1.0,91.0,2.0,39.944186,-75.158142,2015-08-20 11:41:25.358851
7325408,38373837,Private room,,RITTENHOUSE,,,2.0,1.0,75.0,1.0,39.949176,-75.167215,2015-08-20 11:41:25.376944
6202269,14090770,Private room,,RITTENHOUSE,,5.0,2.0,1.0,125.0,14.0,39.946414,-75.175726,2015-08-20 11:41:25.383325
7528331,31730083,Private room,,RITTENHOUSE,7.0,5.0,2.0,1.0,89.0,1.0,39.947483,-75.170258,2015-08-20 11:41:25.389205
6481473,33761820,Private room,,WASHINGTON_SQUARE,21.0,5.0,2.0,1.0,50.0,1.0,39.949434,-75.160985,2015-08-20 11:41:25.391924
7948328,16371559,Private room,,FITLER_SQUARE,,,2.0,1.0,75.0,1.0,39.948134,-75.182223,2015-08-20 11:41:30.127546
7261853,5288570,Private room,,FITLER_SQUARE,,,2.0,1.0,75.0,1.0,39.946398,-75.180291,2015-08-20 11:41:30.142597
270479,90398,Private room,,WASHINGTON_SQUARE,139.0,4.5,3.0,1.0,85.0,1.0,39.944371,-75.157165,2015-08-20 11:41:30.148458
7891686,41209041,Private room,,RITTENHOUSE,,,2.0,1.0,999.0,1.0,39.94644,-75.168213,2015-08-20 11:41:30.151168
7936302,41850825,Private room,,WASHINGTON_SQUARE,,,2.0,1.0,450.0,1.0,39.951455,-75.162202,2015-08-20 11:41:30.156805
7870457,41480036,Private room,,QUEEN_VILLAGE,,,2.0,1.0,800.0,3.0,39.941053,-75.150857,2015-08-20 11:41:34.759973
7150585,37448108,Private room,,RITTENHOUSE,,,2.0,1.0,700.0,1.0,39.945108,-75.176111,2015-08-20 11:41:34.762944
7703981,40421278,Private room,,WASHINGTON_SQUARE,,,2.0,1.0,60.0,1.0,39.943662,-75.163968,2015-08-20 11:41:34.766324
6842306,8509102,Private room,,RITTENHOUSE,6.0,4.5,2.0,1.0,93.0,3.0,39.946368,-75.176491,2015-08-20 11:41:37.129513
7502361,16684413,Private room,,WASHINGTON_SQUARE,,,2.0,1.0,97.0,1.0,39.949482,-75.156688,2015-08-20 11:41:37.144195
747502,2694170,Private room,,RITTENHOUSE,4.0,5.0,2.0,1.0,99.0,3.0,39.949001,-75.174873,2015-08-20 11:41:37.149738
7734901,40652031,Private room,,OLD_CITY,,,2.0,1.0,120.0,1.0,39.950677,-75.143117,2015-08-20 11:41:37.155316
3089942,12800746,Private room,,LOGAN_SQUARE,81.0,5.0,2.0,1.0,80.0,1.0,39.957231,-75.175294,2015-08-20 11:41:37.160827
7413887,38841630,Private room,,SOCIETY_HILL,,,,1.0,1000.0,1.0,39.946441,-75.14661,2015-08-20 11:41:42.476839
2984346,1094159,Private room,,RITTENHOUSE,10.0,4.0,3.0,1.0,99.0,1.0,39.946035,-75.1764,2015-08-20 11:41:53.150159
6077787,6281977,Private room,,WASHINGTON_SQUARE,,,2.0,1.0,200.0,1.0,39.946765,-75.16212,2015-08-20 11:41:53.178125
7436209,35475174,Private room,,RITTENHOUSE,,,3.0,1.0,400.0,2.0,39.9519,-75.17122,2015-08-20 11:41:53.183386
6748940,24675572,Private room,,RITTENHOUSE,,5.0,2.0,1.0,100.0,1.0,39.946454,-75.171133,2015-08-20 11:41:53.185857
66653,90398,Private room,,WASHINGTON_SQUARE,59.0,4.5,3.0,1.0,85.0,1.0,39.9437,-75.15746,2015-08-20 11:41:57.066591
23186,90398,Private room,,WASHINGTON_SQUARE,84.0,4.5,2.0,1.0,90.0,1.0,39.942844,-75.158598,2015-08-20 11:41:57.072568
7824545,41188674,Private room,,SOCIETY_HILL,,,2.0,1.0,181.0,1.0,39.945101,-75.154327,2015-08-20 11:41:57.086887
2521317,24207,Private room,,CENTER_CITY,71.0,4.5,2.0,1.0,60.0,1.0,39.954922,-75.160761,2015-08-20 11:41:57.089663
1446269,6774731,Private room,,SOCIETY_HILL,,5.0,2.0,1.0,499.0,1.0,39.941804,-75.150125,2015-08-20 11:41:57.092551
5795629,26971473,Private room,,RITTENHOUSE,23.0,5.0,2.0,1.0,84.0,,39.945505,-75.168022,2015-08-20 11:41:57.110919
7339337,38449769,Private room,,RITTENHOUSE,,,2.0,1.0,350.0,1.0,39.945146,-75.176326,2015-08-20 11:41:57.113876
5976369,31025752,Private room,,RITTENHOUSE,,,2.0,1.0,112.0,1.0,39.945045,-75.172162,2015-08-20 11:42:02.228764
6000930,31152695,Private room,,RITTENHOUSE,6.0,4.5,3.0,1.0,149.0,2.0,39.945158,-75.171763,2015-08-20 11:42:02.241110
6924955,2671247,Private room,,RITTENHOUSE,,,3.0,1.0,225.0,1.0,39.946805,-75.168933,2015-08-20 11:42:02.253904
6424443,6949289,Private room,,WASHINGTON_SQUARE,,4.0,2.0,1.0,90.0,1.0,39.945162,-75.157765,2015-08-20 11:42:08.736351
6662738,34876171,Private room,,SOCIETY_HILL,,,2.0,1.0,150.0,1.0,39.944763,-75.152509,2015-08-20 11:42:08.742057
4736366,24451768,Private room,,RITTENHOUSE,,,3.0,1.0,86.0,1.0,39.947739,-75.165961,2015-08-20 11:42:08.748115
2797522,2671247,Private room,,RITTENHOUSE,,4.0,4.0,1.0,250.0,1.0,39.947616,-75.167448,2015-08-20 11:42:08.758761
2641075,2671247,Private room,,RITTENHOUSE,4.0,5.0,3.0,1.0,190.0,1.0,39.948538,-75.167453,2015-08-20 11:42:08.767197
6261614,31882405,Private room,,RITTENHOUSE,,2.0,3.0,1.0,115.0,2.0,39.947477,-75.178629,2015-08-20 11:42:08.772822
5370764,27840608,Private room,,CHINATOWN,5.0,4.0,2.0,1.0,90.0,1.0,39.954607,-75.157021,2015-08-20 11:42:12.371297
4886116,21836761,Private room,,WASHINGTON_SQUARE,52.0,5.0,2.0,1.0,79.0,1.0,39.951076,-75.162331,2015-08-20 11:42:12.376743
3171367,16084205,Private room,,RITTENHOUSE,,,1.0,1.0,100.0,1.0,39.945498,-75.173715,2015-08-20 11:42:12.382236
4428423,22989139,Private room,,RITTENHOUSE,,5.0,2.0,1.0,100.0,1.0,39.946321,-75.171388,2015-08-20 11:42:12.384700
5018234,25887669,Private room,,OLD_CITY,5.0,5.0,,1.0,90.0,1.0,39.949327,-75.145284,2015-08-20 11:42:12.387431
5125673,164908,Private room,,WASHINGTON_SQUARE,3.0,5.0,1.0,1.0,70.0,2.0,39.944287,-75.162125,2015-08-20 11:42:12.390087
5277210,15194391,Private room,,OLD_CITY,,,2.0,1.0,95.0,2.0,39.949401,-75.153331,2015-08-20 11:42:12.392550
6089863,12112992,Private room,,WASHINGTON_SQUARE,,5.0,2.0,1.0,150.0,1.0,39.946709,-75.160877,2015-08-20 11:42:12.400181
7219652,28133816,Private room,,WASHINGTON_SQUARE,,,2.0,1.0,99.0,1.0,39.951407,-75.162685,2015-08-20 11:42:12.402620
7772545,40885281,Private room,,RITTENHOUSE,,,1.0,1.0,120.0,1.0,39.949243,-75.168102,2015-08-20 11:42:12.407496
6600448,34530753,Private room,,WASHINGTON_SQUARE,7.0,5.0,2.0,1.0,75.0,1.0,39.945743,-75.160827,2015-08-20 11:42:17.157852
1121483,6151727,Private room,,OLD_CITY,118.0,5.0,,1.0,89.0,1.0,39.951782,-75.144885,2015-08-20 11:42:17.180346
7470514,39062701,Private room,,WASHINGTON_SQUARE,,,5.0,1.0,500.0,1.0,39.943978,-75.162054,2015-08-20 11:42:42.289719
5307341,4781505,Private room,,RITTENHOUSE,,,2.0,1.0,700.0,1.0,39.947752,-75.172067,2015-08-20 11:42:42.312283
7581692,39755016,Private room,,FITLER_SQUARE,,,4.0,1.0,250.0,1.0,39.947584,-75.182322,2015-08-20 11:41:42.482410
5628129,27902156,Private room,,FITLER_SQUARE,4.0,5.0,2.0,1.0,210.0,1.0,39.948057,-75.179226,2015-08-20 11:42:45.142537
2106898,10682815,Private room,,WASHINGTON_SQUARE,18.0,5.0,2.0,1.0,92.0,,39.943418,-75.155934,2015-08-20 11:42:50.747385
6261396,32508550,Private room,,RITTENHOUSE,,,2.0,1.0,65.0,1.0,39.945093,-75.169064,2015-08-20 11:42:57.075490
2003205,10314761,Private room,,OLD_CITY,20.0,3.5,2.0,1.0,120.0,1.0,39.9502,-75.147433,2015-08-20 11:42:08.728015
2848023,2671247,Private room,,RITTENHOUSE,,,2.0,1.0,180.0,3.0,39.947175,-75.168699,2015-08-20 11:43:00.590637
6501744,31152695,Private room,,RITTENHOUSE,,5.0,3.0,1.0,110.0,2.0,39.945391,-75.172872,2015-08-20 11:43:09.622561
7748525,5408120,Private room,,CHESTNUT_HILL,,,2.0,1.0,85.0,2.0,40.06945,-75.207029,2015-08-20 11:43:34.394184
7628884,7819765,Private room,,CHESTNUT_HILL,,,2.0,1.0,250.0,2.0,40.068208,-75.203725,2015-08-20 11:43:34.405616
7572797,2817246,Private room,,CHESTNUT_HILL,,,2.0,1.0,500.0,2.0,40.079002,-75.200558,2015-08-20 11:43:34.408281
7437525,31025218,Private room,,CHESTNUT_HILL,,,4.0,1.0,500.0,1.0,40.076753,-75.202558,2015-08-20 11:43:34.412102
3604001,18121195,Private room,,CHESTNUT_HILL,,,2.0,1.0,100.0,1.0,40.071152,-75.195151,2015-08-20 11:43:34.428016
7899310,41650129,Private room,,COBBS_CREEK,,,2.0,1.0,1000.0,1.0,39.950071,-75.248648,2015-08-20 11:44:13.329676
5684709,29473265,Private room,,COBBS_CREEK,,,2.0,1.0,300.0,1.0,39.959087,-75.232089,2015-08-20 11:44:13.335889
7883919,5123108,Private room,,EAST_FALLS,,,4.0,1.0,48.0,2.0,40.015838,-75.187073,2015-08-20 11:44:37.935577
7937184,41855262,Private room,,EAST_FALLS,,,4.0,1.0,30.0,1.0,40.012566,-75.189052,2015-08-20 11:44:37.944107
6248918,3274496,Private room,,EAST_FALLS,11.0,5.0,1.0,1.0,54.0,1.0,40.027305,-75.184802,2015-08-20 11:44:37.949299
3036137,7712730,Private room,,EAST_FALLS,,,2.0,1.0,113.0,5.0,40.016762,-75.189844,2015-08-20 11:44:37.965645
7881517,21706008,Private room,,EAST_FALLS,,,4.0,1.0,40.0,1.0,40.023077,-75.181308,2015-08-20 11:44:37.976877
2899063,461898,Private room,,EAST_FALLS,,5.0,1.0,1.0,75.0,1.0,40.018093,-75.181891,2015-08-20 11:44:37.982541
4963742,25587932,Private room,,EAST_FALLS,,5.0,2.0,1.0,69.0,1.0,40.011498,-75.198003,2015-08-20 11:44:41.598864
5396174,27898589,Private room,,MOUNT_AIRY_EAST,28.0,5.0,1.0,1.0,34.0,2.0,40.058015,-75.182715,2015-08-20 11:45:06.283819
15843,61993,Private room,,MOUNT_AIRY_EAST,,,1.0,1.0,150.0,2.0,40.059119,-75.185012,2015-08-20 11:45:06.328793
2097324,3909529,Private room,,MOUNT_AIRY_EAST,9.0,4.0,1.0,1.0,50.0,1.0,40.059764,-75.18497,2015-08-20 11:45:06.331273
713916,2323344,Private room,,EAST_OAK_LANE,7.0,5.0,1.0,1.0,70.0,1.0,40.057886,-75.13459,2015-08-20 11:45:36.771742
563835,2323344,Private room,,EAST_OAK_LANE,11.0,4.5,2.0,1.0,75.0,1.0,40.058758,-75.134487,2015-08-20 11:45:36.777717
2177113,11101322,Private room,,PASCHALL,44.0,4.0,2.0,1.0,20.0,1.0,39.925457,-75.230794,2015-08-20 11:46:23.294256
6760123,7008315,Private room,,FAIRMOUNT,3.0,5.0,3.0,1.0,75.0,1.0,39.970945,-75.177479,2015-08-20 11:47:01.060634
3247047,2340190,Private room,,FAIRMOUNT,6.0,5.0,2.0,1.0,75.0,1.0,39.968863,-75.177494,2015-08-20 11:46:45.682061
7386677,14613245,Private room,,FAIRMOUNT,,,5.0,1.0,1199.0,3.0,39.970167,-75.176775,2015-08-20 11:46:45.697274
6651888,34816935,Private room,,FAIRMOUNT,,,4.0,1.0,1500.0,4.0,39.968876,-75.173561,2015-08-20 11:46:45.720483
7794858,27038405,Private room,,FAIRMOUNT,,,2.0,1.0,250.0,2.0,39.968453,-75.179451,2015-08-20 11:46:54.973552
7316272,37707407,Private room,,FAIRMOUNT,,,3.0,1.0,3500.0,1.0,39.971016,-75.176978,2015-08-20 11:46:54.976138
7180564,27947857,Private room,,FAIRMOUNT,,,2.0,1.0,75.0,2.0,39.970611,-75.180258,2015-08-20 11:46:54.990095
5851044,1639232,Private room,,FISHTOWN,11.0,5.0,3.0,1.0,64.0,2.0,39.975911,-75.125982,2015-08-20 11:47:39.169377
3902427,15722438,Private room,,FAIRMOUNT,57.0,4.5,2.0,1.0,45.0,,39.971861,-75.181136,2015-08-20 11:47:16.747527
4257844,13200684,Private room,,FISHTOWN,11.0,5.0,2.0,1.0,65.0,2.0,39.975902,-75.132045,2015-08-20 11:47:39.172388
3986302,3865880,Private room,,FISHTOWN,21.0,4.5,2.0,1.0,60.0,1.0,39.974131,-75.131458,2015-08-20 11:47:39.178160
4771767,24151937,Private room,,FISHTOWN,22.0,4.5,2.0,1.0,100.0,1.0,39.96774,-75.131789,2015-08-20 11:47:39.181130
3542918,17835090,Private room,,EAST_KENSINGTON,12.0,5.0,2.0,1.0,80.0,1.0,39.980287,-75.128833,2015-08-20 11:47:39.186747
4220014,19480038,Private room,,FISHTOWN,14.0,5.0,2.0,1.0,109.0,1.0,39.968317,-75.127454,2015-08-20 11:47:39.192335
5289231,7682145,Private room,,FISHTOWN,,,2.0,1.0,175.0,3.0,39.971329,-75.12853,2015-08-20 11:47:39.195277
7785570,1526230,Private room,,FISHTOWN,,,2.0,1.0,70.0,1.0,39.97487,-75.12709,2015-08-20 11:47:39.197868
7692280,33110613,Private room,,FISHTOWN,,,2.0,1.0,179.0,1.0,39.976799,-75.132947,2015-08-20 11:47:39.203101
6992162,11308694,Private room,,FISHTOWN,3.0,5.0,2.0,1.0,100.0,1.0,39.973412,-75.126132,2015-08-20 11:47:39.209077
272829,1384835,Private room,,FISHTOWN,152.0,5.0,4.0,1.0,60.0,1.0,39.973325,-75.132355,2015-08-20 11:47:39.215015
2435464,736751,Private room,,FISHTOWN,12.0,5.0,2.0,1.0,99.0,1.0,39.970891,-75.130912,2015-08-20 11:47:49.319083
5524770,19480038,Private room,,FISHTOWN,,,2.0,1.0,299.0,1.0,39.96897,-75.127974,2015-08-20 11:47:49.322118
6636708,828484,Private room,,FISHTOWN,,,2.0,1.0,65.0,1.0,39.972015,-75.134791,2015-08-20 11:47:49.356862
1896667,9831991,Private room,,FISHTOWN,4.0,5.0,2.0,1.0,125.0,1.0,39.966877,-75.13228,2015-08-20 11:47:59.846630
4023542,5201522,Private room,,FISHTOWN,4.0,4.5,2.0,1.0,95.0,1.0,39.97641,-75.128333,2015-08-20 11:47:59.855549
5077272,19480038,Private room,,FISHTOWN,4.0,5.0,2.0,1.0,109.0,1.0,39.970143,-75.129407,2015-08-20 11:47:59.872445
7634666,36794597,Private room,,FISHTOWN,,,3.0,1.0,150.0,1.0,39.973466,-75.132707,2015-08-20 11:48:18.400397
5606484,4266027,Private room,,FISHTOWN,46.0,4.5,2.0,1.0,43.0,,39.968184,-75.132941,2015-08-20 11:48:18.426116
6369608,625456,Private room,,RITTENHOUSE,3.0,5.0,1.0,1.0,50.0,1.0,39.94749,-75.178162,2015-08-20 11:48:45.843009
7400885,14049279,Private room,,FRANCISVILLE,6.0,5.0,2.0,1.0,55.0,1.0,39.970755,-75.165179,2015-08-20 11:49:39.936890
3896192,10693057,Private room,,FRANCISVILLE,26.0,4.5,2.0,1.0,69.0,2.0,39.968039,-75.166662,2015-08-20 11:49:39.939661
7870116,20577499,Private room,,FRANCISVILLE,,,2.0,1.0,900.0,1.0,39.969504,-75.168103,2015-08-20 11:49:39.954294
6730559,35247554,Private room,,FRANCISVILLE,5.0,4.5,2.0,1.0,50.0,1.0,39.969856,-75.162814,2015-08-20 11:49:39.965297
7451511,34108698,Private room,,FRANCISVILLE,,,4.0,1.0,135.0,1.0,39.971329,-75.167525,2015-08-20 11:49:39.971481
7849093,41359802,Private room,,FRANCISVILLE,,,2.0,1.0,115.0,1.0,39.971285,-75.168559,2015-08-20 11:49:39.980395
7954712,27217389,Private room,,FRANKFORD,,,4.0,1.0,100.0,1.0,40.016842,-75.074223,2015-08-20 11:50:12.374458
3625687,18262763,Private room,,FRANKFORD,31.0,4.0,2.0,1.0,39.0,1.0,40.015688,-75.073669,2015-08-20 11:50:12.380210
7547809,39552628,Private room,,LOGAN_SQUARE,,,4.0,1.0,500.0,1.0,39.963059,-75.16899,2015-08-20 11:50:34.488663
7868355,33761820,Private room,,LOGAN_SQUARE,,,4.0,1.0,85.0,1.0,39.963086,-75.172138,2015-08-20 11:50:34.491603
3868059,6161135,Private room,,SPRING_GARDEN,33.0,5.0,2.0,1.0,90.0,2.0,39.964542,-75.176102,2015-08-20 11:50:34.499700
7414489,38844200,Private room,,LOGAN_SQUARE,,,3.0,1.0,500.0,1.0,39.960814,-75.167794,2015-08-20 11:50:34.502306
4649412,2393462,Private room,,WEST_POPLAR,4.0,5.0,2.0,1.0,100.0,1.0,39.963197,-75.160848,2015-08-20 11:50:34.511144
5162606,21836761,Private room,,WASHINGTON_SQUARE,9.0,5.0,2.0,1.0,99.0,2.0,39.951014,-75.163014,2015-08-20 11:50:56.077062
6559838,5511117,Private room,,GERMANTOWN_WEST_CENT,4.0,5.0,2.0,1.0,75.0,2.0,40.029269,-75.184465,2015-08-20 11:51:27.874787
7145805,3140358,Private room,,GERMANTOWN_WEST_CENT,,,2.0,1.0,65.0,2.0,40.038824,-75.181207,2015-08-20 11:51:27.880567
7583656,39769039,Private room,,GERMANTOWN_WEST_CENT,,,2.0,1.0,250.0,1.0,40.040342,-75.181068,2015-08-20 11:51:27.883672
7053091,36990171,Private room,,GERMANTOWN_WEST_CENT,,,2.0,1.0,150.0,1.0,40.037992,-75.18483,2015-08-20 11:51:27.889294
7909867,451746,Private room,,GERMANTOWN_PENN_KNOX,,,3.0,1.0,150.0,2.0,40.033621,-75.175818,2015-08-20 11:51:27.898335
6623866,6015801,Private room,,GERMANTOWN_WEST_CENT,,,2.0,1.0,75.0,,40.035971,-75.184478,2015-08-20 11:51:27.900931
663368,2772545,Private room,,GERMANTOWN_MORTON,43.0,5.0,1.0,1.0,50.0,,40.038606,-75.17705,2015-08-20 11:51:27.903497
1155590,532762,Private room,,GERMANTOWN_WESTSIDE,30.0,5.0,4.0,1.0,65.0,1.0,40.027601,-75.178139,2015-08-20 11:51:27.906469
7022872,16514969,Private room,,GERMANTOWN_SOUTHWEST,,,2.0,1.0,104.0,1.0,40.021857,-75.164723,2015-08-20 11:51:27.912001
6341598,5511117,Private room,,GERMANTOWN_WEST_CENT,10.0,4.5,2.0,1.0,75.0,2.0,40.029425,-75.183712,2015-08-20 11:51:42.344452
273498,1428526,Private room,,GERMANTOWN_WEST_CENT,,,3.0,1.0,300.0,1.0,40.037025,-75.182881,2015-08-20 11:51:42.364445
2708430,8283999,Private room,,GERMANTOWN_WEST_CENT,6.0,4.0,4.0,1.0,80.0,1.0,40.039985,-75.181887,2015-08-20 11:51:42.375804
